Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
DQD6fOtwOTU,Easter Sunday Service - 4/4/10 - Sam Wells,6-Apr-10,4971,7,9,36,20676,1288.3153,11,33489,5.73
ED2Zxt3WJvM,Choral Evensong Service in Memory of J. Samuel Hammond,22-Aug-21,7361,7,42,28,1642,504.315,3,20087,3.67
HrLFeiE66-s,"Catholic Mass - 2/22/12 - Ash Wednesday, 12pm",22-Feb-12,4396,7,5,4,4537,265.7531,3,8957,5.34
JUqR-h6HeCA,Mary Duke Biddle Trent Semans - A Service of Death and Resurrection - Live,30-Jan-12,8253,7,40,20,7385,489.3351,7,14668,6.52
X9NM-1u16qc,University Worship Service - 4/16/17 - Luke Powery,16-Apr-17,5458,7,26,14,3553,716.2343,1,10409,7.31
XOACs-3WUkM,Organ Recital: J. S. Bach and His Legacy,21-Mar-21,5950,7,75,105,2882,608.5409,46,38006,3.57
ZnJ2xceDJu4,Duke Chapel Reads Conversation on 'Jesus and the Disinherited',7-Apr-21,3903,7,270,135,7820,1922.6255,88,82403,4.98
k6T-ZgIoMco,Sunday Morning Worship Service - 12/1/19 - Rev. Ismael Ruiz-Millan,1-Dec-19,5228,7,16,10,1061,278.7727,2,9476,3.97
qdwQtSEDwh8,Ordination of Giovanna Meek,8-Nov-16,4870,7,17,12,2525,237.3133,2,8369,10.18
qfGF5Uc_PXE,Christmas Eve Worship Service 2 PM - 12/24/16,24-Dec-16,3027,7,6,4,977,78.9287,2,3032,3.13
vo7EZoKzky0,Doctor of Physical Therapy White Coat Ceremony,9-Jun-22,5056,7,42,26,2043,227.2192,1,20458,3.19
xjcbOa0LVQ0,2016 All Hallows' Eve,1-Nov-16,5411,7,18,11,3811,272.7575,4,7210,4.31
ynIqHZclr_A,Organ Music for Advent and Christmas,17-Dec-17,5454,7,12,18,273,81.3402,1,107,0
zv60mJoW-eA,University Worship Service - 4/8/18 - Student Preacher Sunday,8-Apr-18,4887,7,16,4,1236,224.6219,4,14161,2.87
 -nzrN7ouck0,Choral Evensong Worship Service - 10/8/17,8-Oct-17,3968,6,8,8,882,185.028,1,4344,3.48
 -uKo0FvZ_hw,Nursing School Graduation Ceremony,8-Dec-18,8648,6,55,11,1444,237.5434,3,17112,2.61
2rzdcWHjAis,"Dr Robert Parkins performs Pierné's Prélude, Op. 29, No. 1",6-Mar-09,234,6,2,19,5048,35.4341,0,4832,4.24
4JTe6Pv2hfU,Christmas Eve Lessons and Carols - 12/24/18,25-Dec-18,5927,6,80,46,6853,892.8179,18,45103,6.5
BKpS8zgg6TE,Sunday Sermon - Does God Heal? - Sam Wells,19-Feb-09,1369,6,268,73,9428,1350.9762,26,56386,5.71
COCpuo2vW4k,Service of Word and Prayer - 3/15/20,15-Mar-20,2587,6,23,23,2434,346.5373,5,20355,3.6
DKwQ7mUgn0k,University Worship Service - 9/4/16 - Luke Powery,4-Sep-16,5201,6,4,4,1175,260.5863,2,2432,3.66
DS9l8RmzMHM,Easter Sunday Worship - 3/31/13 - 11AM - Luke Powery,31-Mar-13,5581,6,26,27,14210,1411.1373,11,35365,7.9
FlD0V-TSE6Y,The Consecration of the XII Bishop Diocesan,15-Jul-17,10899,6,36,32,5083,1474.7789,5,23171,5.35
Fqvb043EJWg,Catholic Mass - 4/8/12 - Easter Sunday of the Resurrection of the Lord,9-Apr-12,4535,6,10,19,8767,418.2727,9,10307,4.29
G0aFH_capOA,Catholic Mass - 4/18/14 - Good Friday,18-Apr-14,5653,6,7,11,6028,580.6441,2,22522,4.68
Hl8e_-lom2o,Choral Evensong Worship Service - 2/24/19,24-Feb-19,2871,6,1,6,539,107.6148,2,9231,2.68
JBJ0WCPEpUw,Sunday Service - 4/3/11 - Shane Claiborne,4-Apr-11,4696,6,13,23,7050,422.3919,6,3692,2.65
LOwFsQPLeS4,Christmas Eve Worship Service,24-Dec-20,4580,6,73,39,4031,949.7484,13,32188,3.53
NsjM7UtzQJQ,"Interview with Cynthia Hale on ""And We Know That""",17-May-21,746,6,20,34,4245,93.4249,23,32126,1.53
WrZO4eQxJWU,Sunday Morning Worship Service - 10/17/21 - Dean Luke A. Powery,17-Oct-21,5037,6,29,22,1569,471.5835,4,20588,4.14
